line	reasons
xã tân ước, thanh oai, hà nội	4:duoi_32_ky_tu
an hải 3 sơn trà	4:duoi_32_ky_tu
Đường Quốc Lộ 1A - Từ Sơn - Bắc Ninh	1:gach_noi_giua_cap
đông lĩnh thanh hóa	4:duoi_32_ky_tu
duyên thái - quốc lộ 1a - thường tín	1:gach_noi_giua_cap
Phú Mỹ Hưng - Phường Tân Phú - Quận 7 - Hồ Chí Minh	1:gach_noi_giua_cap
dự án chung cu bo công an dương trần não an khánh quận 2	0:thieu_dau_sai_chinh_ta[chung cu]
nguyễn thuy - liên chiểu đà nẵng	1:gach_noi_giua_cap
trung yên plaza	4:duoi_32_ky_tu
phường trưng trắc phúc yên	4:duoi_32_ky_tu
Dự án Dự án Vien bong Lê Hữu Trac Thanh Trì Hà Nội	0:thieu_dau_sai_chinh_ta[vien,trac] | 2:trung_keyword[dự án dự án]
Đường Đào Tấn, Hà Nội	4:duoi_32_ky_tu
Đường Nguyễn Thuật Phường Hóa An - Cẩm Lệ Đà Nẵng	1:gach_noi_giua_cap
thanh lộc đán	4:duoi_32_ky_tu
đường 37 bình trưng tây quận 2 - hồ chí minh	1:gach_noi_giua_cap
thái phiên - huế	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
đường nguyễn thanh tuyền - tân bình	1:gach_noi_giua_cap
quốc lộ 32, đan phượng, hà nội	4:duoi_32_ky_tu
6	3:keyword_la_toan_so | 4:duoi_32_ky_tu
Lê Thanh Nghị - Hải Châu - Đà Nẵng	1:gach_noi_giua_cap
đường võ thị sáu cần thơ	4:duoi_32_ky_tu
đường thạnh xuân 52	4:duoi_32_ky_tu
lạch tray lê chân - hải phòng	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Định Công Hoàng Mai - hà nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
4 38 39 phố Đại Đồng	4:duoi_32_ky_tu
linh chiểu chương dương thủ đức	4:duoi_32_ky_tu
19 - đường 11 - quận 2	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
209 đường 30/ 4 ninh kiều	4:duoi_32_ky_tu
Phố Hàng Buồm Hoàn Kiếm Hà Nội	4:duoi_32_ky_tu
xã an khánh hoài đức hà nội	4:duoi_32_ky_tu
đường nguyễn văn tăng - phường trường thạnh quận 9 - hồ chí minh	1:gach_noi_giua_cap
đường dh421 - tân uyên	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Trần Văn Nam Tân An, Long An	4:duoi_32_ky_tu
ql22 - lộc trat	0:thieu_dau_sai_chinh_ta[trat] | 1:gach_noi_giua_cap | 4:duoi_32_ky_tu
dự án the sun avenue - quận 12 - hồ chí minh	1:gach_noi_giua_cap
phố nguyễn khang cầu giấy	4:duoi_32_ky_tu
458 minh khai, hai bà trưng	4:duoi_32_ky_tu
văn phong va can ho cao cap licogi 13 tower thanh xuân - hà nội	0:thieu_dau_sai_chinh_ta[can ho,cap] | 1:gach_noi_giua_cap
đường phạm việt chanh đà nẵng	4:duoi_32_ky_tu
Số 23, Thủ Đức, Hồ Chí Minh	4:duoi_32_ky_tu
đường số 3, quận 2	4:duoi_32_ky_tu
Đường D1 - Bến Cát	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
Truong Văn Hải	0:thieu_dau_sai_chinh_ta[truong] | 4:duoi_32_ky_tu
9 - hoàng minh giám	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
phan đăng lưu, phường hiệp an	4:duoi_32_ky_tu
Hùng Vương Cam Ranh Khánh Hòa	4:duoi_32_ky_tu
nguyễn thị dinh, phủ lý, hà nam	4:duoi_32_ky_tu
dự án cát bi plaza - ngô quyền - hải phòng	1:gach_noi_giua_cap
tân thuận tây - quận 7	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
kha vạn cân - thủ đức hồ chí minh	1:gach_noi_giua_cap
nguyễn việt xuân hà dong hà nội	0:thieu_dau_sai_chinh_ta[hà dong,dong hà] | 4:duoi_32_ky_tu
187A Lê Văn Lương	4:duoi_32_ky_tu
đường lê liễu	4:duoi_32_ky_tu
Xã Giang Điền - Trảng Bom Đồng Nai	1:gach_noi_giua_cap
đường lý văn phức - hồ chí minh	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
cowaelmic, thanh xuân, hà nội	4:duoi_32_ky_tu
đường 1 bình chánh	4:duoi_32_ky_tu
257 Nguyễn Trãi - Phường Nguyễn Cư Trinh Quận 1 Tp Hồ Chí Minh	1:gach_noi_giua_cap
đường tuy lý vương quận 8	4:duoi_32_ky_tu
Số 14 Quận 7 Hồ Chí Minh	4:duoi_32_ky_tu
lê duy nhuan phường 12 tân bình	4:duoi_32_ky_tu
Phan Tây Hồ	4:duoi_32_ky_tu
337/ 11 đường lê văn sỹ - tân bình - hồ chí minh	1:gach_noi_giua_cap
an gia riverside	3:keyword_la_toan_so | 4:duoi_32_ky_tu
khu đô thị bình nguyên	4:duoi_32_ky_tu
đường chấn hưng quận 10	4:duoi_32_ky_tu
đường bùi dinh tuy - hồ chí minh	0:thieu_dau_sai_chinh_ta[bùi dinh,dinh tuy] | 1:gach_noi_giua_cap
đườn. g đại cồ việt	4:duoi_32_ky_tu
quốc lộ 32, nam từ liêm	4:duoi_32_ky_tu
đường tây sơn, đống đa hà nội	4:duoi_32_ky_tu
liên khu 2 - 10	4:duoi_32_ky_tu
thị xã dĩ an bình dương	4:duoi_32_ky_tu
đường nhị bình 15	4:duoi_32_ky_tu
pasteur, hải châu	4:duoi_32_ky_tu
3189/ 42 phạm thế hiển, quận 8	4:duoi_32_ky_tu
An Khánh, Hoài Đức, Hà Nội	4:duoi_32_ky_tu
Khu can ho Quốc 1K IDICO	0:thieu_dau_sai_chinh_ta[can ho] | 4:duoi_32_ky_tu
Nghĩa Tân - Cầu Giấy - Hà Nội	1:gach_noi_giua_cap | 4:duoi_32_ky_tu
2 tân lập 1	4:duoi_32_ky_tu
7 3 thái hà	4:duoi_32_ky_tu
đường tam bình phường linh đông - thủ đức - hồ chí minh	1:gach_noi_giua_cap
